lane,x0,x1,y,y0,y1,prom,width,area1d,area2d
1,0,354,150,140,155,11.448907852172852,15.197399912204276,139.72024536132812,1374728.0
1,0,354,187,180,197,10.685812950134277,17.30460181733423,159.58543395996094,1504067.0
1,0,354,229,223,255,6.916009902954102,32.517462173041366,186.89364624023438,2891869.0
1,0,354,381,371,385,28.424083709716797,13.384322627058623,323.3392333984375,1312535.0
